feature,valor,abs_valor
TP_FAIXA_ETARIA_1.0,1.3545905091617423,1.3545905091617423
TP_FAIXA_ETARIA_2.0,1.3203400650331054,1.3203400650331054
Q005_20.0,1.2696100768708631,1.2696100768708631
TP_FAIXA_ETARIA_19.0,-1.2560169852238972,1.2560169852238972
TP_FAIXA_ETARIA_3.0,1.0944668231620864,1.0944668231620864
TP_ANO_CONCLUIU_0.0,-1.06707370479037,1.06707370479037
TP_DEPENDENCIA_ADM_ESC_1.0,1.0399823118452935,1.0399823118452935
TP_FAIXA_ETARIA_18.0,-1.0165380823854013,1.0165380823854013
TP_ANO_CONCLUIU_1.0,-0.9673433352015124,0.9673433352015124
TP_FAIXA_ETARIA_16.0,-0.9486666342394321,0.9486666342394321
Q006_A,-0.9364508271454948,0.9364508271454948
TP_NACIONALIDADE_2.0,-0.9227639748404067,0.9227639748404067
TP_FAIXA_ETARIA_15.0,-0.9108674107031071,0.9108674107031071
TP_FAIXA_ETARIA_17.0,-0.8297050911054353,0.8297050911054353
TP_FAIXA_ETARIA_4.0,0.8227743230287212,0.8227743230287212
TP_ESTADO_CIVIL_4.0,-0.8078343189221334,0.8078343189221334
Q006_B,-0.7981051501848808,0.7981051501848808
TP_FAIXA_ETARIA_20.0,-0.7666633698678839,0.7666633698678839
TP_ANO_CONCLUIU_2.0,-0.732843862040663,0.732843862040663
TP_FAIXA_ETARIA_5.0,0.7252706210625239,0.7252706210625239
Q015_C,-0.7202009473127351,0.7202009473127351
TP_DEPENDENCIA_ADM_ESC_2.0,-0.7113882167307023,0.7113882167307023
TP_FAIXA_ETARIA_14.0,-0.6871500597258743,0.6871500597258743
Q006_Q,0.6812631447583964,0.6812631447583964
CO_MUNICIPIO_ESC_3302270.0,-0.6580431932956057,0.6580431932956057
NO_MUNICIPIO_ESC_Japeri,-0.6580431932956057,0.6580431932956057
CO_MUNICIPIO_ESC_3303708.0,-0.6554500204539615,0.6554500204539615
NO_MUNICIPIO_ESC_Paraíba do Sul,-0.6554500204539615,0.6554500204539615
NO_MUNICIPIO_ESC_Cachoeiras de Macacu,-0.6496059771047421,0.6496059771047421
CO_MUNICIPIO_ESC_3300803.0,-0.6496059771047421,0.6496059771047421
Q002_A,-0.6000508014880769,0.6000508014880769
Q005_1.0,0.5705190778579714,0.5705190778579714
TP_FAIXA_ETARIA_6.0,0.5567288579428026,0.5567288579428026
CO_MUNICIPIO_ESC_3303856.0,0.5496809110085805,0.5496809110085805
NO_MUNICIPIO_ESC_Paty do Alferes,0.5496809110085805,0.5496809110085805
CO_MUNICIPIO_ESC_3305505.0,0.5317802477536879,0.5317802477536879
NO_MUNICIPIO_ESC_Saquarema,0.5317802477536879,0.5317802477536879
NO_MUNICIPIO_ESC_Rio Claro,0.5262238900558346,0.5262238900558346
CO_MUNICIPIO_ESC_3304409.0,0.5262238900558346,0.5262238900558346
Q006_C,-0.5261381696963666,0.5261381696963666
Q006_P,0.5138478138066712,0.5138478138066712
Q014_D,0.5121999053854711,0.5121999053854711
Q012_A,0.509719327763092,0.509719327763092
CO_MUNICIPIO_ESC_3304508.0,0.5058763494494859,0.5058763494494859
NO_MUNICIPIO_ESC_Rio das Flores,0.5058763494494859,0.5058763494494859
TP_ST_CONCLUSAO_1.0,0.5020786015810113,0.5020786015810113
Q024_A,-0.49741171527138994,0.49741171527138994
TP_ANO_CONCLUIU_9.0,0.490321907675119,0.490321907675119
CO_MUNICIPIO_ESC_3300456.0,-0.47365337490778886,0.47365337490778886
NO_MUNICIPIO_ESC_Belford Roxo,-0.47365337490778886,0.47365337490778886
CO_MUNICIPIO_ESC_3305000.0,0.46751445085096643,0.46751445085096643
NO_MUNICIPIO_ESC_São João da Barra,0.46751445085096643,0.46751445085096643
TP_ANO_CONCLUIU_3.0,-0.45620380476004385,0.45620380476004385
NO_MUNICIPIO_ESC_Itaocara,0.4451364220996039,0.4451364220996039
CO_MUNICIPIO_ESC_3302106.0,0.4451364220996039,0.4451364220996039
TP_ANO_CONCLUIU_10.0,0.4267272858633285,0.4267272858633285
NO_MUNICIPIO_ESC_Barbacena,0.4233025173356266,0.4233025173356266
CO_MUNICIPIO_ESC_3105608.0,0.4233025173356266,0.4233025173356266
Q006_O,0.4051059075678192,0.4051059075678192
NO_MUNICIPIO_ESC_Piraí,-0.4042613705050072,0.4042613705050072
CO_MUNICIPIO_ESC_3304003.0,-0.4042613705050072,0.4042613705050072
Q013_A,-0.4006885931496963,0.4006885931496963
TP_ANO_CONCLUIU_12.0,0.40002478028322674,0.40002478028322674
SG_UF_ESC_GO,0.39994821859582014,0.39994821859582014
CO_UF_ESC_52.0,0.39994821859582014,0.39994821859582014
NO_MUNICIPIO_ESC_São José de Ubá,0.39682109749315253,0.39682109749315253
CO_MUNICIPIO_ESC_3305133.0,0.39682109749315253,0.39682109749315253
CO_MUNICIPIO_ESC_3303104.0,-0.3921281939314891,0.3921281939314891
NO_MUNICIPIO_ESC_Natividade,-0.3921281939314891,0.3921281939314891
TP_FAIXA_ETARIA_7.0,0.38480223198005453,0.38480223198005453
TP_NACIONALIDADE_0.0,0.3829698108913532,0.3829698108913532
NO_MUNICIPIO_ESC_Duas Barras,0.37771874219253415,0.37771874219253415
CO_MUNICIPIO_ESC_3301603.0,0.37771874219253415,0.37771874219253415
Q006_D,-0.37724683249023117,0.37724683249023117
TP_FAIXA_ETARIA_8.0,0.3742049235778081,0.3742049235778081
NO_MUNICIPIO_ESC_Santana do Deserto,0.37403749942245607,0.37403749942245607
