modelo,accuracy,precision,recall,f1_score,roc_auc,training_seconds
LogisticRegression,0.40113980110322467,0.25981006647673316,0.9062341275975532,0.40384189575511853,0.6571467511930236,2.651173208025284
RandomForestClassifier_Optimized,0.7728701635065937,0.48381164400135507,0.2207671753196564,0.30318745640372424,0.6627205167875831,46.86555975000374
RandomForestClassifier,0.7722770319697898,0.47911482873630157,0.1998542499392708,0.2820544785887926,0.6740617185518166,5.413245749950875
DummyClassifier,0.7761768718242749,0.0,0.0,0.0,0.5,0.44056141696637496
