NU_ANO,CO_MUNICIPIO_PROVA,agg_profile_n,agg_Q006_A,agg_Q006_B,agg_Q006_C,agg_Q006_D,agg_Q006_E,agg_Q006_F,agg_Q006_G,agg_Q006_H,agg_Q006_I,agg_Q006_J,agg_Q006_K,agg_Q006_L,agg_Q006_M,agg_Q006_N,agg_Q006_O,agg_Q006_P,agg_Q006_Q,agg_TP_COR_RACA_0,agg_TP_COR_RACA_1,agg_TP_COR_RACA_2,agg_TP_COR_RACA_3,agg_TP_COR_RACA_4,agg_TP_COR_RACA_5,agg_TP_SEXO_F,agg_TP_SEXO_M,agg_TP_FAIXA_ETARIA_1,agg_TP_FAIXA_ETARIA_10,agg_TP_FAIXA_ETARIA_11,agg_TP_FAIXA_ETARIA_12,agg_TP_FAIXA_ETARIA_13,agg_TP_FAIXA_ETARIA_14,agg_TP_FAIXA_ETARIA_15,agg_TP_FAIXA_ETARIA_16,agg_TP_FAIXA_ETARIA_17,agg_TP_FAIXA_ETARIA_18,agg_TP_FAIXA_ETARIA_19,agg_TP_FAIXA_ETARIA_2,agg_TP_FAIXA_ETARIA_20,agg_TP_FAIXA_ETARIA_3,agg_TP_FAIXA_ETARIA_4,agg_TP_FAIXA_ETARIA_5,agg_TP_FAIXA_ETARIA_6,agg_TP_FAIXA_ETARIA_7,agg_TP_FAIXA_ETARIA_8,agg_TP_FAIXA_ETARIA_9,agg_IN_TREINEIRO_0,agg_IN_TREINEIRO_1,agg_TP_ST_CONCLUSAO_1,agg_TP_ST_CONCLUSAO_2,agg_TP_ST_CONCLUSAO_3,agg_TP_ST_CONCLUSAO_4,agg_TP_ENSINO_1.0,agg_TP_ENSINO_2.0,agg_TP_ENSINO_NA
2022,3300100,2157,0.041261010662957814,0.22763096893834028,0.1798794622160408,0.15252665739452945,0.08576726935558646,0.059805285118219746,0.0602688919796013,0.059805285118219746,0.02642559109874826,0.01808066759388039,0.01576263328697265,0.01808066759388039,0.016226240148354196,0.011590171534538712,0.009735744089012517,0.00927213722763097,0.007881316643486324,0.025034770514603615,0.502086230876217,0.11265646731571627,0.3435326842837274,0.013908205841446454,0.0027816411682892906,0.6216968011126565,0.37830319888734354,0.0890125173852573,0.01854427445526194,0.04265183124710246,0.02642559109874826,0.023180343069077423,0.014371812702828002,0.007881316643486324,0.005099675475197033,0.003245248029670839,0.0027816411682892906,0.0004636068613815484,0.19286045433472415,0.0004636068613815484,0.24432081594807603,0.12517385257301808,0.07000463606861382,0.045433472415391744,0.03291608715808994,0.03337969401947149,0.021789522484932777,0.8474733426054706,0.15252665739452945,0.43671766342141866,0.4089012517385257,0.15252665739452945,0.0018544274455261937,0.38340287436254056,0.0018544274455261937,0.6147426981919333
2022,3300209,1876,0.046908315565031986,0.26439232409381663,0.19189765458422176,0.12473347547974413,0.08368869936034115,0.05063965884861407,0.059168443496801705,0.05223880597014925,0.02931769722814499,0.020788912579957356,0.014392324093816631,0.014925373134328358,0.01279317697228145,0.009594882729211088,0.008528784648187633,0.009594882729211088,0.006396588486140725,0.025053304904051173,0.43923240938166314,0.1593816631130064,0.36300639658848616,0.009594882729211088,0.0037313432835820895,0.6513859275053305,0.3486140724946695,0.06982942430703624,0.01652452025586354,0.04637526652452026,0.025053304904051173,0.021321961620469083,0.013326226012793176,0.011194029850746268,0.009594882729211088,0.004797441364605544,0.0026652452025586353,0.0005330490405117271,0.17590618336886993,0.0005330490405117271,0.2510660980810235,0.1535181236673774,0.07835820895522388,0.03624733475479744,0.03464818763326226,0.027185501066098083,0.021321961620469083,0.8773987206823027,0.12260127931769722,0.4642857142857143,0.41044776119402987,0.12260127931769722,0.0026652452025586353,0.39232409381663114,0.0037313432835820895,0.6039445628997868
2022,3300308,912,0.03070175438596491,0.2324561403508772,0.17543859649122806,0.12719298245614036,0.09758771929824561,0.06140350877192982,0.07785087719298246,0.0756578947368421,0.039473684210526314,0.02850877192982456,0.008771929824561403,0.008771929824561403,0.01206140350877193,0.008771929824561403,0.0043859649122807015,0.007675438596491228,0.003289473684210526,0.015350877192982455,0.48026315789473684,0.20394736842105263,0.2850877192982456,0.01425438596491228,0.0010964912280701754,0.6337719298245614,0.36622807017543857,0.10087719298245613,0.010964912280701754,0.03728070175438596,0.017543859649122806,0.009868421052631578,0.008771929824561403,0.0043859649122807015,0.0043859649122807015,0.0010964912280701754,0.0021929824561403508,0.0,0.20942982456140352,0.0,0.2949561403508772,0.14144736842105263,0.0581140350877193,0.039473684210526314,0.021929824561403508,0.01864035087719298,0.01864035087719298,0.8234649122807017,0.17653508771929824,0.3519736842105263,0.46710526315789475,0.17653508771929824,0.0043859649122807015,0.4506578947368421,0.0010964912280701754,0.5482456140350878
2022,3300407,2119,0.020292590844738084,0.19584709768758848,0.19301557338367153,0.1411042944785276,0.10901368570080226,0.06748466257668712,0.07881075979235488,0.06654082114204814,0.02878716375648891,0.019820670127418595,0.011326097215667769,0.017461066540821142,0.0146295422369042,0.009910335063709298,0.008494572911750826,0.0066068900424728644,0.010854176498348278,0.0146295422369042,0.5563945257196791,0.14818310523831996,0.26946672958942897,0.008494572911750826,0.002831524303916942,0.6073619631901841,0.39263803680981596,0.1028787163756489,0.009910335063709298,0.03633789523360075,0.019348749410099102,0.013213780084945729,0.010382255781028787,0.005663048607833884,0.0023596035865974517,0.0018876828692779614,0.001415762151958471,0.0009438414346389807,0.2439830108541765,0.0,0.2586125530910807,0.12600283152430392,0.06182161396885323,0.037753657385559226,0.0292590844738084,0.020292590844738084,0.01793298725814063,0.826805096743747,0.17319490325625295,0.37800849457291175,0.44596507786691836,0.17319490325625295,0.002831524303916942,0.4336951392166116,0.0023596035865974517,0.5639452571967909
2022,3300456,3630,0.07382920110192838,0.3493112947658402,0.23553719008264462,0.13168044077134985,0.0746556473829201,0.03608815426997245,0.03663911845730027,0.03140495867768595,0.009641873278236915,0.0049586776859504135,0.004407713498622589,0.004407713498622589,0.003581267217630854,0.001652892561983471,0.001652892561983471,0.0005509641873278236,0.0,0.02837465564738292,0.29228650137741047,0.25261707988980714,0.4066115702479339,0.01818181818181818,0.001928374655647383,0.6460055096418733,0.35399449035812675,0.03939393939393939,0.021212121212121213,0.06198347107438017,0.02865013774104683,0.023966942148760332,0.023691460055096418,0.012947658402203856,0.014325068870523415,0.006336088154269973,0.0027548209366391185,0.0008264462809917355,0.1669421487603306,0.0002754820936639118,0.22644628099173553,0.128099173553719,0.0834710743801653,0.05454545454545454,0.045454545454545456,0.03168044077134986,0.02699724517906336,0.9421487603305785,0.05785123966942149,0.550137741046832,0.3887052341597796,0.05785123966942149,0.003305785123966942,0.36446280991735536,0.004683195592286501,0.6308539944903582
2022,3300605,1040,0.03461538461538462,0.31346153846153846,0.20096153846153847,0.14807692307692308,0.07403846153846154,0.03653846153846154,0.051923076923076926,0.058653846153846154,0.022115384615384617,0.0125,0.014423076923076924,0.016346153846153847,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0019230769230769232,0.0028846153846153848,0.011538461538461539,0.46634615384615385,0.1778846153846154,0.3278846153846154,0.015384615384615385,0.0009615384615384616,0.6221153846153846,0.3778846153846154,0.06634615384615385,0.01826923076923077,0.04230769230769231,0.0125,0.01730769230769231,0.014423076923076924,0.006730769230769231,0.0019230769230769232,0.0038461538461538464,0.0009615384615384616,0.0,0.22692307692307692,0.0,0.2798076923076923,0.12403846153846154,0.0798076923076923,0.03653846153846154,0.03461538461538462,0.01826923076923077,0.015384615384615385,0.875,0.125,0.4125,0.46153846153846156,0.125,0.0009615384615384616,0.4394230769230769,0.0009615384615384616,0.5596153846153846
2022,3300704,3640,0.029395604395604395,0.20274725274725275,0.1835164835164835,0.14395604395604394,0.09697802197802198,0.056043956043956046,0.06456043956043957,0.06675824175824176,0.029395604395604395,0.020054945054945057,0.011263736263736264,0.023351648351648352,0.021703296703296703,0.01456043956043956,0.013736263736263736,0.011538461538461539,0.010439560439560439,0.015384615384615385,0.49642857142857144,0.16181318681318682,0.31126373626373627,0.012362637362637362,0.0027472527472527475,0.6379120879120879,0.3620879120879121,0.06950549450549451,0.01703296703296703,0.05247252747252747,0.0228021978021978,0.017582417582417582,0.016758241758241758,0.009615384615384616,0.0052197802197802195,0.00467032967032967,0.0013736263736263737,0.0013736263736263737,0.17884615384615385,0.0005494505494505495,0.24587912087912087,0.14148351648351648,0.08434065934065935,0.04450549450549451,0.04148351648351648,0.025,0.019505494505494506,0.8541208791208791,0.1458791208791209,0.45467032967032966,0.39587912087912086,0.1458791208791209,0.0035714285714285713,0.371978021978022,0.0035714285714285713,0.6244505494505495
2022,3300803,659,0.04704097116843703,0.30349013657056145,0.212443095599393,0.1062215477996965,0.08497723823975721,0.054628224582701064,0.06069802731411229,0.05311077389984825,0.025796661608497723,0.009104704097116844,0.009104704097116844,0.009104704097116844,0.007587253414264037,0.004552352048558422,0.004552352048558422,0.0030349013657056147,0.004552352048558422,0.021244309559939303,0.3960546282245827,0.13960546282245828,0.40971168437025796,0.03338391502276176,0.0,0.644916540212443,0.3550834597875569,0.0622154779969651,0.018209408194233688,0.0409711684370258,0.015174506828528073,0.012139605462822459,0.010622154779969651,0.009104704097116844,0.0,0.004552352048558422,0.0,0.0015174506828528073,0.1669195751138088,0.0,0.27921092564491656,0.1441578148710167,0.0819423368740516,0.057663125948406675,0.04552352048558422,0.027314112291350532,0.02276176024279211,0.8786039453717754,0.12139605462822459,0.48710166919575115,0.3915022761760243,0.12139605462822459,0.0,0.37329286798179057,0.012139605462822459,0.6145675265553869
2022,3301009,7965,0.04745762711864407,0.2895166352793471,0.18355304456999372,0.13145009416195857,0.07344632768361582,0.03628374136848713,0.05059635907093534,0.0519774011299435,0.023477715003138732,0.016446955430006276,0.013433772755806653,0.01669805398618958,0.016823603264281232,0.013810420590081607,0.01418706842435656,0.010546139359698682,0.01029504080351538,0.019836785938480855,0.466541117388575,0.20288763339610796,0.29617074701820467,0.012554927809165096,0.0020087884494664155,0.64030131826742,0.35969868173258,0.061142498430634025,0.022222222222222223,0.05951035781544256,0.03214061519146265,0.022222222222222223,0.015944758317639675,0.013684871311989956,0.007658505963590709,0.004268675455116133,0.0026365348399246705,0.0007532956685499058,0.15856873822975517,0.00025109855618330194,0.22849968612680477,0.13810420590081607,0.08813559322033898,0.052354048964218455,0.04105461393596987,0.02849968612680477,0.022347771500313873,0.8878844946641556,0.11211550533584431,0.4769617074701821,0.40853735091023224,0.11211550533584431,0.0023854362837413684,0.38493408662900186,0.0020087884494664155,0.6130571249215317
2022,3301306,483,0.051759834368530024,0.2587991718426501,0.14906832298136646,0.14078674948240166,0.09109730848861283,0.06625258799171843,0.08902691511387163,0.07246376811594203,0.018633540372670808,0.010351966873706004,0.022774327122153208,0.008281573498964804,0.004140786749482402,0.006211180124223602,0.006211180124223602,0.002070393374741201,0.002070393374741201,0.024844720496894408,0.4886128364389234,0.13871635610766045,0.33747412008281574,0.010351966873706004,0.0,0.6853002070393375,0.3146997929606625,0.08902691511387163,0.014492753623188406,0.043478260869565216,0.041407867494824016,0.035196687370600416,0.010351966873706004,0.004140786749482402,0.004140786749482402,0.002070393374741201,0.0,0.002070393374741201,0.17598343685300208,0.0,0.23809523809523808,0.13457556935817805,0.062111801242236024,0.043478260869565216,0.041407867494824016,0.028985507246376812,0.028985507246376812,0.8322981366459627,0.16770186335403728,0.453416149068323,0.3747412008281574,0.16770186335403728,0.004140786749482402,0.34782608695652173,0.002070393374741201,0.650103519668737
