modelo,accuracy,precision,recall,f1_score,roc_auc,training_seconds,f1_gain_vs_baseline_abs,f1_train,f1_gap_train_external
RandomForestClassifier_Optimized,0.5698115818818087,0.30101325911027654,0.6973698739041141,0.420515074038564,0.6796527994737255,6.667034874961246,0.420515074038564,0.44081650304891234,0.02030142901034837
RandomForestClassifier,0.5689614266790565,0.300641970612012,0.6980765408652254,0.4202807987874598,0.67881227257813,0.6437841249862686,0.4202807987874598,0.4406355237026163,0.020354724915156552
LogisticRegression,0.7319490302299373,0.40025415793463237,0.39646224852593687,0.39834917958219157,0.6795617767208286,0.24062266596592963,0.39834917958219157,0.3987573351743183,0.00040815559212670216
DummyClassifier,0.7761768718242749,0.0,0.0,0.0,0.5,0.1697851670323871,0.0,0.0,0.0
