experimento,avaliacao,modelo,accuracy,precision,recall,f1_score,roc_auc,training_seconds
Modelo A - socioeducacional individual,teste interno 2022-2023,LogisticRegression,0.7334366633788925,0.47941844943901296,0.7475389548292738,0.5841832248988922,0.8127897168170445,1.402790708001703
Modelo A - socioeducacional individual,teste interno 2022-2023,RandomForestClassifier,0.7449767507397492,0.49351643041237114,0.6893739101085673,0.5752305850876576,0.8034962546333526,4.748216916981619
Modelo A - socioeducacional individual,teste interno 2022-2023,RandomForestClassifier_Optimized,0.7389601239960547,0.48546252086487324,0.7034932778309051,0.574486655335569,0.8032455323394541,33.46780254197074
Modelo A - socioeducacional individual,teste interno 2022-2023,DummyClassifier,0.7495138791038467,0.0,0.0,0.0,0.5,0.631537750014104
Modelo B - robustez temporal,teste externo 2024,LogisticRegression,0.40113980110322467,0.25981006647673316,0.9062341275975532,0.40384189575511853,0.6571467511930236,2.651173208025284
Modelo B - robustez temporal,teste externo 2024,RandomForestClassifier_Optimized,0.7728701635065937,0.48381164400135507,0.2207671753196564,0.30318745640372424,0.6627205167875831,46.86555975000374
Modelo B - robustez temporal,teste externo 2024,RandomForestClassifier,0.7722770319697898,0.47911482873630157,0.1998542499392708,0.2820544785887926,0.6740617185518166,5.413245749950875
Modelo B - robustez temporal,teste externo 2024,DummyClassifier,0.7761768718242749,0.0,0.0,0.0,0.5,0.44056141696637496
