NU_ANO,TP_ESCOLA,participantes,nota_mt_media,proporcao_alto
2022,1.0,99759,558.4698102426848,0.2361691676941429
2022,2.0,46132,523.8064445504205,0.13810370241914507
2022,3.0,23633,611.9476833241654,0.4062962806245504
2023,1.0,114697,551.9199604174478,0.2657436550214914
2023,2.0,45030,510.0124805685099,0.13908505440817234
2023,3.0,25596,625.579824972652,0.4885528988904516
