experimento,melhor_modelo,f1_melhor,f1_baseline_most_frequent,f1_baseline_estratificado,ganho_abs_vs_estratificado,ganho_rel_vs_estratificado_pct
Modelo A (teste interno 2022-2023),LogisticRegression,0.5842,0.0,0.2502,0.334,133.5
Modelo B (teste externo 2024),LogisticRegression,0.4038,0.0,0.2369,0.1669,70.5
