modelo,accuracy,precision,recall,f1_score,roc_auc,training_seconds
LogisticRegression,0.7334366633788925,0.47941844943901296,0.7475389548292738,0.5841832248988922,0.8127897168170445,1.402790708001703
RandomForestClassifier,0.7449767507397492,0.49351643041237114,0.6893739101085673,0.5752305850876576,0.8034962546333526,4.748216916981619
RandomForestClassifier_Optimized,0.7389601239960547,0.48546252086487324,0.7034932778309051,0.574486655335569,0.8032455323394541,33.46780254197074
DummyClassifier,0.7495138791038467,0.0,0.0,0.0,0.5,0.631537750014104
